calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
2 19.400000 -33.446537 191.499184 3.837189 14.638730 8.587100 0.045938 11.472594 -0.063953 0.004057 0.000000 0.000000 80.000000 -30.000000 
3 19.400000 -31.990852 192.331820 3.845299 9.036664 5.751067 0.003713 6.896428 0.008591 0.000930 0.000000 0.000000 0.000000 0.000000 
1 19.600000 -41.146242 184.562157 3.845299 10.494099 6.857899 0.010939 7.784736 0.000076 0.001667 12.007865 0.000000 0.000000 0.000000 
1 19.800000 -50.301632 176.792494 3.845299 12.108314 7.779990 0.023891 8.890734 -0.015187 0.002404 12.007865 0.000000 0.000000 0.000000 
1 20.000000 -58.312598 169.994038 3.872102 13.843693 8.503322 0.040745 10.304684 -0.034000 0.003141 10.506882 0.026803 0.000000 0.000000 
2 20.000000 -58.312598 169.994038 3.872102 13.843693 8.503322 0.040745 10.304684 -0.034000 0.003141 0.000000 0.000000 80.000000 10.000000 
3 20.000000 -57.889428 170.305437 3.873742 8.639376 5.595869 -0.007158 6.653655 0.000182 0.000868 0.000000 0.000000 0.000000 0.000000 
1 20.200000 -66.820149 162.278542 3.873742 9.858832 6.748137 -0.000194 7.752386 -0.007566 0.001605 12.007865 0.000000 0.000000 0.000000 
1 20.400000 -75.750870 154.251646 3.873742 11.237570 7.723188 0.012686 9.048290 -0.021896 0.002342 12.007865 0.000000 0.000000 0.000000 
1 20.600000 -83.565251 147.228113 3.846939 12.858894 8.485805 0.028636 10.519865 -0.040628 0.003079 10.506882 -0.026803 0.000000 0.000000 
2 20.600000 -83.565251 147.228113 3.846939 12.858894 8.485805 0.028636 10.519865 -0.040628 0.003079 0.000000 0.000000 80.000000 -25.000000 
3 20.600000 -85.115568 145.786006 3.852960 8.309419 5.603187 0.001779 6.710094 0.007803 0.000760 0.000000 0.000000 0.000000 0.000000 
1 20.800000 -93.074215 138.926377 3.879763 9.637196 6.753227 0.007154 7.681366 0.001894 0.001497 10.506882 0.026803 0.000000 0.000000 
2 20.800000 -93.074215 138.926377 3.879763 9.637196 6.753227 0.007154 7.681366 0.001894 0.001497 0.000000 0.000000 80.000000 -25.000000 
3 20.800000 -91.728302 140.366874 3.864925 6.837238 4.659071 -0.000471 5.749548 0.011781 0.000812 0.000000 0.000000 0.000000 0.000000 
1 21.000000 -100.729446 132.419029 3.864925 8.179721 5.845614 0.005979 6.615771 0.004475 0.001549 12.007865 -0.000000 0.000000 0.000000 
1 21.200000 -109.730590 124.471184 3.864925 9.671297 6.863306 0.018288 7.673222 -0.009464 0.002286 12.007865 0.000000 0.000000 0.000000 
1 21.400000 -114.231162 120.497262 3.918532 11.040928 7.859446 0.027909 8.932226 -0.019249 0.003023 6.003933 0.053607 0.000000 0.000000 
2 21.400000 -114.231162 120.497262 3.918532 11.040928 7.859446 0.027909 8.932226 -0.019249 0.003023 0.000000 0.000000 80.000000 15.000000 
3 21.400000 -115.095103 120.404296 3.888224 7.365899 5.302737 -0.007513 6.169129 -0.001305 0.000839 0.000000 0.000000 0.000000 0.000000 
1 21.600000 -118.400180 117.346026 3.968634 8.384804 6.464463 -0.004733 7.436646 -0.003862 0.001576 4.502949 0.080410 0.000000 0.000000 
2 21.600000 -118.400180 117.346026 3.968634 8.384804 6.464463 -0.004733 7.436646 -0.003862 0.001576 0.000000 0.000000 80.000000 10.000000 
3 21.600000 -118.009438 117.932306 3.955300 6.221837 4.534958 -0.013148 5.527504 0.000373 0.000809 0.000000 0.000000 0.000000 0.000000 
1 21.800000 -122.132990 113.568417 4.062513 6.960856 5.683885 -0.009279 7.000506 -0.002567 0.001546 6.003933 0.107213 0.000000 0.000000 
2 21.800000 -122.132990 113.568417 4.062513 6.960856 5.683885 -0.009279 7.000506 -0.002567 0.001546 0.000000 0.000000 80.000000 0.000000 
