calcPhase t x y theta P11 P12 P13 P22 P23 P33 U1 U2 y1 y2
1 12.800000 226.154879 276.462844 2.759458 11.280763 -6.030963 -0.026761 5.732177 -0.006017 0.003067 8.796459 0.052360 0.000000 0.000000 
2 12.800000 226.154879 276.462844 2.759458 11.280763 -6.030963 -0.026761 5.732177 -0.006017 0.003067 0.000000 0.000000 80.000000 -20.000000 
3 12.800000 226.782342 276.944620 2.702005 7.998348 -4.078101 -0.007583 4.072538 0.013885 0.000985 0.000000 0.000000 0.000000 0.000000 
1 13.000000 220.148879 280.064186 2.780545 9.974067 -4.773264 -0.010135 4.203595 0.007128 0.001689 7.330383 0.078540 0.000000 0.000000 
2 13.000000 220.148879 280.064186 2.780545 9.974067 -4.773264 -0.010135 4.203595 0.007128 0.001689 0.000000 0.000000 80.000000 -25.000000 
3 13.000000 222.434177 278.982670 2.757327 7.469560 -3.343137 -0.002058 3.239868 0.012949 0.000923 0.000000 0.000000 0.000000 0.000000 
1 13.200000 214.279208 282.280272 2.809687 9.459821 -4.020422 -0.004702 3.322413 0.005277 0.001626 8.796459 0.052360 0.000000 0.000000 
1 13.400000 207.348895 284.668843 2.888227 11.549045 -4.510620 -0.007689 3.467930 -0.006259 0.002329 7.330383 0.078540 0.000000 0.000000 
1 13.600000 200.252541 286.506305 2.914407 13.673921 -4.901793 -0.011534 3.787987 -0.022891 0.003032 7.330383 0.026180 0.000000 0.000000 
2 13.600000 200.252541 286.506305 2.914407 13.673921 -4.901793 -0.011534 3.787987 -0.022891 0.003032 0.000000 0.000000 80.000000 35.000000 
3 13.600000 199.031661 287.352648 2.887118 9.975052 -3.474784 -0.018978 2.741207 0.012812 0.000845 0.000000 0.000000 0.000000 0.000000 
1 13.800000 191.937349 289.197980 2.965657 12.162591 -3.726410 -0.020062 2.667821 0.006716 0.001548 7.330383 0.078540 0.000000 0.000000 
2 13.800000 191.937349 289.197980 2.965657 12.162591 -3.726410 -0.020062 2.667821 0.006716 0.001548 0.000000 0.000000 80.000000 -25.000000 
3 13.800000 189.941184 289.944421 2.966582 8.852775 -2.597944 -0.008654 2.183360 0.011844 0.000693 0.000000 0.000000 0.000000 0.000000 
2 13.800000 189.941184 289.944421 2.966582 8.852775 -2.597944 -0.008654 2.183360 0.011844 0.000693 0.000000 0.000000 80.000000 30.000000 
3 13.800000 190.678341 289.814861 2.962147 7.149580 -2.099972 -0.010531 1.998650 0.014780 0.000545 0.000000 0.000000 0.000000 0.000000 
1 14.000000 182.023128 291.384889 3.014507 9.343318 -2.296478 -0.011138 1.817657 0.010022 0.001248 8.796459 0.052360 0.000000 0.000000 
2 14.000000 182.023128 291.384889 3.014507 9.343318 -2.296478 -0.011138 1.817657 0.010022 0.001248 0.000000 0.000000 80.000000 -30.000000 
3 14.000000 182.808590 291.119234 3.016225 7.311730 -1.690850 -0.005007 1.608042 0.011968 0.000740 0.000000 0.000000 0.000000 0.000000 
1 14.200000 175.535737 292.035821 3.042405 9.502767 -1.876369 -0.005545 1.494458 0.006568 0.001443 7.330383 0.026180 0.000000 0.000000 
1 14.400000 168.241384 292.761714 3.120945 11.708539 -1.880641 -0.005763 1.476651 -0.004010 0.002146 7.330383 0.078540 0.000000 0.000000 
1 14.600000 160.912564 292.913061 3.199485 13.901654 -1.719462 -0.004853 1.657680 -0.019718 0.002850 7.330383 0.078540 0.000000 0.000000 
1 14.800000 152.130841 292.404101 3.251844 16.073236 -1.479092 -0.002095 2.247000 -0.044633 0.003553 8.796459 0.052360 0.000000 0.000000 
1 15.000000 141.930614 291.274930 3.278024 18.238520 -1.273397 0.002864 3.562619 -0.080754 0.004256 10.262536 0.026180 0.000000 0.000000 
1 15.200000 130.310988 289.679735 3.278024 20.422699 -1.217267 0.009653 6.054683 -0.130206 0.004959 11.728613 0.000000 0.000000 0.000000 
1 15.400000 118.691362 288.084540 3.278024 22.630326 -1.331941 0.017564 9.790899 -0.187827 0.005662 11.728613 0.000000 0.000000 0.000000 
1 15.600000 114.334003 287.486342 3.356564 24.772928 -1.146921 0.022876 11.609970 -0.212158 0.006365 4.398230 0.078540 0.000000 0.000000 
1 15.800000 108.604678 286.235370 3.461284 26.866086 -1.072728 0.034607 14.387271 -0.247594 0.007068 5.864306 0.104720 0.000000 0.000000 
1 16.000000 104.429296 284.853123 3.539824 28.878111 -0.896031 0.046663 16.842553 -0.276250 0.007771 4.398230 0.078540 0.000000 0.000000 
1 16.200000 99.023881 282.579013 3.644543 30.896704 -1.098306 0.068630 20.398815 -0.316180 0.008475 5.864306 0.104720 0.000000 0.000000 
1 16.400000 90.032216 277.632337 3.670723 33.478341 -2.772328 0.112532 27.227922 -0.391258 0.009178 10.262536 0.026180 0.000000 0.000000 
1 16.600000 81.173121 272.451981 3.696903 36.556832 -5.315761 0.162188 35.362619 -0.471292 0.009881 10.262536 0.026180 0.000000 0.000000 
1 16.800000 71.206889 266.268570 3.696903 40.532497 -9.467453 0.223285 46.350926 -0.569767 0.010584 11.728613 0.000000 0.000000 0.000000 
1 17.000000 63.732215 261.631012 3.696903 44.423249 -13.157839 0.272369 56.072780 -0.648879 0.011287 8.796459 -0.000000 0.000000 0.000000 
2 17.000000 63.732215 261.631012 3.696903 44.423249 -13.157839 0.272369 56.072780 -0.648879 0.011287 0.000000 0.000000 80.000000 5.000000 
3 17.000000 64.711238 263.799566 3.673289 17.399778 3.672051 -0.053708 8.661820 0.025109 0.001348 0.000000 0.000000 0.000000 0.000000 
1 17.200000 54.601782 257.853201 3.673289 18.446905 5.246903 -0.045695 8.858663 0.011485 0.002051 11.728613 0.000000 0.000000 0.000000 
1 17.400000 44.492326 251.906836 3.673289 19.614198 6.617459 -0.033500 9.402829 -0.009247 0.002754 11.728613 0.000000 0.000000 0.000000 
1 17.600000 35.646552 246.703767 3.699469 20.918529 7.718939 -0.018539 10.390562 -0.033224 0.003457 10.262536 0.026180 0.000000 0.000000 
1 17.800000 29.427593 242.823166 3.725649 22.359700 8.626874 -0.004565 11.596635 -0.054365 0.004160 7.330383 0.026180 0.000000 0.000000 
2 17.800000 29.427593 242.823166 3.725649 22.359700 8.626874 -0.004565 11.596635 -0.054365 0.004160 0.000000 0.000000 80.000000 -30.000000 
3 17.800000 28.755655 241.891691 3.746662 12.781647 4.728541 -0.019348 7.357069 0.028520 0.001158 0.000000 0.000000 0.000000 0.000000 
1 18.000000 22.726689 237.722030 3.825202 13.952710 6.019806 -0.013986 7.949906 0.021938 0.001861 7.330383 0.078540 0.000000 0.000000 
2 18.000000 22.726689 237.722030 3.825202 13.952710 6.019806 -0.013986 7.949906 0.021938 0.001861 0.000000 0.000000 80.000000 -30.000000 
3 18.000000 24.004386 239.200715 3.786980 9.216924 3.747193 -0.017915 6.537774 0.034646 0.001196 0.000000 0.000000 0.000000 0.000000 
1 18.200000 16.977189 233.909572 3.839340 10.347393 5.103811 -0.011158 7.035254 0.026586 0.001899 8.796459 0.052360 0.000000 0.000000 
1 18.400000 9.113098 227.315960 3.865520 11.521144 6.365249 0.001749 7.705985 0.011986 0.002602 10.262536 0.026180 0.000000 0.000000 
